順位,チーム名,試合,勝利,敗戦,引分,勝率,勝差,残試合,得点,失点,本塁打,盗塁,打率,防御率,失策,date
4,楽天,126,61,64,1,0.488,1.5,17,447,495,98,92,0.244,3.55,67,2023-09-17 14:11:07.859771
5,西武,129,58,70,1,0.453,4.5,14,388,428,81,70,0.235,2.97,70,2023-09-17 14:11:07.859771
6,日本ハム,129,56,72,1,0.438,2,14,425,446,90,67,0.235,3.04,82,2023-09-17 14:11:07.859771
1,オリックス,128,77,47,4,0.621,M4,15,457,370,99,41,0.249,2.64,52,2023-09-18 14:13:02.244367
2,ロッテ,126,63,58,5,0.521,12.5,17,445,453,90,65,0.239,3.33,70,2023-09-18 14:13:02.244367
3,ソフトバンク,129,64,63,2,0.504,2,14,485,464,95,62,0.248,3.29,48,2023-09-18 14:13:02.244367
4,楽天,127,61,65,1,0.484,2.5,16,450,501,98,92,0.244,3.57,69,2023-09-18 14:13:02.244367
5,西武,130,58,71,1,0.45,4.5,13,389,430,81,70,0.234,2.95,70,2023-09-18 14:13:02.244367
6,日本ハム,130,56,73,1,0.434,2,13,426,449,91,67,0.234,3.04,82,2023-09-18 14:13:02.244367
1,オリックス,129,78,47,4,0.624,M2,14,460,372,99,42,0.249,2.64,52,2023-09-19 14:13:01.191258
2,ロッテ,127,63,59,5,0.516,13.5,16,447,456,91,65,0.238,3.33,70,2023-09-19 14:13:01.191258
3,ソフトバンク,130,64,64,2,0.5,2,13,487,467,95,62,0.247,3.29,48,2023-09-19 14:13:01.191258
4,楽天,128,62,65,1,0.488,1.5,15,453,503,98,92,0.244,3.55,70,2023-09-19 14:13:01.191258
5,西武,131,59,71,1,0.454,4.5,12,396,434,82,70,0.235,2.95,72,2023-09-19 14:13:01.191258
6,日本ハム,131,56,74,1,0.431,3,12,430,456,92,68,0.234,3.07,82,2023-09-19 14:13:01.191258
1,オリックス,130,79,47,4,0.627,優勝,13,466,374,99,42,0.249,2.63,52,2023-09-20 14:13:34.343816
2,ロッテ,128,63,60,5,0.512,14.5,15,449,462,91,65,0.239,3.35,70,2023-09-20 14:13:34.343816
3,ソフトバンク,131,64,65,2,0.496,2,12,488,473,95,63,0.247,3.31,48,2023-09-20 14:13:34.343816
4,楽天,129,63,65,1,0.492,0.5,14,459,504,98,95,0.244,3.53,70,2023-09-20 14:13:34.343816
5,西武,132,60,71,1,0.458,4.5,11,400,435,84,71,0.235,2.94,73,2023-09-20 14:13:34.343816
6,日本ハム,132,56,75,1,0.427,4,11,431,460,93,68,0.233,3.08,83,2023-09-20 14:13:34.343816
2,ロッテ,129,63,61,5,0.508,15,14,451,466,92,65,0.239,3.36,70,2023-09-21 14:13:08.435394
3,ソフトバンク,132,65,65,2,0.5,1,11,492,475,96,63,0.248,3.3,49,2023-09-21 14:13:08.435394
4,楽天,130,63,66,1,0.488,1.5,13,461,511,99,95,0.244,3.56,71,2023-09-21 14:13:08.435394
5,西武,133,61,71,1,0.462,3.5,10,407,437,87,71,0.234,2.93,73,2023-09-21 14:13:08.435394
6,日本ハム,132,56,75,1,0.427,4.5,11,431,460,93,68,0.233,3.08,83,2023-09-21 14:13:08.435394
4,楽天,131,63,67,1,0.485,2,12,461,514,99,95,0.243,3.54,73,2023-09-22 14:12:23.145216
5,西武,133,61,71,1,0.462,3,10,407,437,87,71,0.234,2.93,73,2023-09-22 14:12:23.145216
6,日本ハム,133,57,75,1,0.432,4,10,434,460,93,69,0.233,3.06,84,2023-09-22 14:12:23.145216
1,オリックス,131,80,47,4,0.63,優勝,12,472,375,99,42,0.25,2.62,52,2023-09-23 14:10:42.687445
2,ロッテ,130,63,62,5,0.504,16,13,452,468,93,66,0.238,3.35,71,2023-09-23 14:10:42.687445
3,ソフトバンク,133,65,66,2,0.496,1,10,493,481,97,64,0.248,3.32,49,2023-09-23 14:10:42.687445
4,楽天,132,64,67,1,0.489,1,11,465,515,99,96,0.244,3.52,73,2023-09-23 14:10:42.687445
5,西武,134,62,71,1,0.466,3,9,409,438,87,71,0.234,2.92,74,2023-09-23 14:10:42.687445
6,日本ハム,134,57,76,1,0.429,5,9,435,464,94,69,0.232,3.07,84,2023-09-23 14:10:42.687445
1,オリックス,132,81,47,4,0.633,優勝,11,476,376,101,43,0.249,2.61,52,2023-09-24 14:10:54.686183
2,ソフトバンク,134,66,66,2,0.5,17,9,500,487,97,66,0.248,3.34,49,2023-09-24 14:10:54.686183
2,ロッテ,131,63,63,5,0.5,0,12,458,475,94,67,0.239,3.37,74,2023-09-24 14:10:54.686183
4,楽天,133,65,67,1,0.492,1,10,468,516,100,97,0.244,3.5,74,2023-09-24 14:10:54.686183
5,西武,135,62,72,1,0.463,4,8,410,442,87,71,0.234,2.93,74,2023-09-24 14:10:54.686183
6,日本ハム,135,57,77,1,0.425,5,8,436,467,94,70,0.231,3.06,85,2023-09-24 14:10:54.686183
1,オリックス,133,82,47,4,0.636,優勝,10,480,379,102,45,0.249,2.61,53,2023-09-25 14:13:00.313318
2,ソフトバンク,135,67,66,2,0.504,17,8,510,488,99,69,0.249,3.33,49,2023-09-25 14:13:00.313318
3,楽天,134,66,67,1,0.4962,1,9,477,517,100,98,0.245,3.49,74,2023-09-25 14:13:00.313318
4,ロッテ,132,63,64,5,0.496,0,11,459,485,94,68,0.238,3.42,74,2023-09-25 14:13:00.313318
5,西武,136,62,73,1,0.459,5,7,413,446,87,72,0.234,2.94,74,2023-09-25 14:13:00.313318
6,日本ハム,136,57,78,1,0.422,5,7,437,476,95,70,0.23,3.11,85,2023-09-25 14:13:00.313318
1,オリックス,134,82,48,4,0.631,優勝,9,481,386,102,46,0.249,2.65,53,2023-09-26 14:13:25.238858
2,ソフトバンク,135,67,66,2,0.504,16.5,8,510,488,99,69,0.249,3.33,49,2023-09-26 14:13:25.238858
3,楽天,134,66,67,1,0.496,1,9,477,517,100,98,0.245,3.49,74,2023-09-26 14:13:25.238858
4,ロッテ,133,63,65,5,0.492,0.5,10,459,492,94,68,0.237,3.44,75,2023-09-26 14:13:25.238858
5,西武,137,63,73,1,0.463,4,6,420,447,87,72,0.234,2.92,75,2023-09-26 14:13:25.238858
6,日本ハム,137,58,78,1,0.426,5,6,444,476,97,70,0.231,3.08,86,2023-09-26 14:13:25.238858
1,オリックス,135,83,48,4,0.634,優勝,8,482,386,103,46,0.248,2.63,53,2023-09-27 14:12:58.780360
2,ソフトバンク,136,67,67,2,0.5,17.5,7,510,489,99,69,0.248,3.31,49,2023-09-27 14:12:58.780360
3,ロッテ,134,64,65,5,0.496,0.5,9,463,494,94,68,0.237,3.43,75,2023-09-27 14:12:58.780360
4,楽天,135,66,68,1,0.493,0.5,8,478,519,100,98,0.244,3.47,75,2023-09-27 14:12:58.780360
5,西武,138,64,73,1,0.467,3.5,5,422,448,87,72,0.234,2.91,75,2023-09-27 14:12:58.780360
6,日本ハム,138,58,79,1,0.423,6,5,446,480,97,70,0.231,3.08,87,2023-09-27 14:12:58.780360
1,オリックス,136,83,49,4,0.629,優勝,7,487,395,104,47,0.249,2.67,54,2023-09-28 14:13:08.393247
2,ソフトバンク,136,67,67,2,0.5,17,7,510,489,99,69,0.248,3.31,49,2023-09-28 14:13:08.393247
3,楽天,136,67,68,1,0.496,0.5,7,487,524,101,99,0.246,3.48,75,2023-09-28 14:13:08.393247
4,ロッテ,135,64,66,5,0.492,0.5,8,465,503,94,69,0.238,3.47,76,2023-09-28 14:13:08.393247
6,日本ハム,139,59,79,1,0.428,5.5,4,455,482,98,71,0.232,3.07,87,2023-09-28 14:13:08.393247
2,ソフトバンク,137,68,67,2,0.504,16.5,6,511,489,100,69,0.247,3.29,49,2023-09-29 14:10:48.516343
3,楽天,136,67,68,1,0.496,1,7,487,524,101,99,0.246,3.48,75,2023-09-29 14:10:48.516343
5,西武,139,64,74,1,0.464,4,4,422,449,87,72,0.233,2.9,75,2023-09-29 14:10:48.516343
6,日本ハム,139,59,79,1,0.428,5,4,455,482,98,71,0.232,3.07,87,2023-09-29 14:10:48.516343
1,オリックス,137,83,50,4,0.624,優勝,6,491,400,105,48,0.249,2.66,57,2023-09-30 14:11:01.752111
2,ソフトバンク,138,69,67,2,0.507,15.5,5,514,491,102,70,0.247,3.28,49,2023-09-30 14:11:01.752111
3,楽天,137,68,68,1,0.5,1,6,492,528,101,100,0.246,3.49,76,2023-09-30 14:11:01.752111
4,ロッテ,136,65,66,5,0.496,0.5,7,470,507,95,69,0.238,3.46,78,2023-09-30 14:11:01.752111
5,西武,140,64,75,1,0.46,5,3,426,454,87,75,0.233,2.91,75,2023-09-30 14:11:01.752111
6,日本ハム,140,59,80,1,0.424,5,3,457,485,98,72,0.232,3.07,87,2023-09-30 14:11:01.752111
1,オリックス,138,83,51,4,0.619,優勝,5,493,408,105,48,0.25,2.69,58,2023-10-01 14:11:20.970786
2,ソフトバンク,139,69,68,2,0.504,15.5,4,517,495,102,71,0.247,3.28,50,2023-10-01 14:11:20.970786
2,楽天,138,69,68,1,0.504,0,5,500,530,101,101,0.246,3.47,77,2023-10-01 14:11:20.970786
4,ロッテ,137,66,66,5,0.5,0.5,6,473,509,96,69,0.238,3.45,79,2023-10-01 14:11:20.970786
5,西武,141,64,76,1,0.457,6,2,428,457,87,79,0.233,2.92,75,2023-10-01 14:11:20.970786
6,日本ハム,141,60,80,1,0.429,4,2,461,488,100,73,0.231,3.06,90,2023-10-01 14:11:20.970786
1,オリックス,139,84,51,4,0.622,優勝,4,496,408,105,51,0.25,2.67,58,2023-10-02 14:12:58.249220
2,ソフトバンク,140,70,68,2,0.507,15.5,3,523,495,102,71,0.247,3.26,50,2023-10-02 14:12:58.249220
3,ロッテ,138,67,66,5,0.504,0.5,5,480,512,98,70,0.238,3.45,80,2023-10-02 14:12:58.249220
4,楽天,139,69,69,1,0.5,0.5,4,500,536,101,101,0.245,3.48,78,2023-10-02 14:12:58.249220
5,西武,142,64,77,1,0.454,6.5,1,431,464,89,80,0.233,2.95,75,2023-10-02 14:12:58.249220
6,日本ハム,142,60,81,1,0.426,4,1,461,491,100,74,0.231,3.06,92,2023-10-02 14:12:58.249220
2,ソフトバンク,141,71,68,2,0.511,15,2,530,498,102,72,0.248,3.26,50,2023-10-03 14:13:20.618638
3,ロッテ,139,67,67,5,0.5,1.5,4,481,516,99,70,0.238,3.45,80,2023-10-03 14:13:20.618638
4,楽天,140,69,70,1,0.496,0.5,3,503,543,102,101,0.245,3.51,78,2023-10-03 14:13:20.618638
5,西武,143,65,77,1,0.458,5.5,0,435,465,90,80,0.233,2.93,76,2023-10-03 14:13:20.618638
6,日本ハム,142,60,81,1,0.426,4.5,1,461,491,100,74,0.231,3.06,92,2023-10-03 14:13:20.618638
1,オリックス,140,84,52,4,0.618,優勝,3,499,414,106,51,0.25,2.69,59,2023-10-04 14:13:42.041409
2,ソフトバンク,141,71,68,2,0.511,14.5,2,530,498,102,72,0.248,3.26,50,2023-10-04 14:13:42.041409
3,ロッテ,140,68,67,5,0.504,1,3,487,519,99,70,0.237,3.45,80,2023-10-04 14:13:42.041409
4,楽天,140,69,70,1,0.496,1,3,503,543,102,101,0.245,3.51,78,2023-10-04 14:13:42.041409
4,楽天,141,70,70,1,0.5,0.5,2,508,546,103,102,0.245,3.51,79,2023-10-05 14:12:31.001556
5,西武,143,65,77,1,0.458,6,0,435,465,90,80,0.233,2.93,76,2023-10-05 14:12:31.001556
6,日本ハム,143,60,82,1,0.423,5,0,464,496,100,75,0.231,3.08,94,2023-10-05 14:12:31.001556
1,オリックス,141,84,53,4,0.613,優勝,2,500,426,106,51,0.249,2.75,60,2023-10-06 14:13:26.547334
2,ソフトバンク,141,71,68,2,0.511,14,2,530,498,102,72,0.248,3.26,50,2023-10-06 14:13:26.547334
3,ロッテ,141,69,67,5,0.507,0.5,2,499,520,99,71,0.24,3.43,81,2023-10-06 14:13:26.547334
4,楽天,141,70,70,1,0.5,1,2,508,546,103,102,0.245,3.51,79,2023-10-06 14:13:26.547334
1,オリックス,142,85,53,4,0.616,優勝,1,504,427,108,51,0.249,2.74,60,2023-10-08 14:10:53.028364
2,ソフトバンク,142,71,68,3,0.511,14.5,1,535,503,103,73,0.248,3.26,51,2023-10-08 14:10:53.028364
3,ロッテ,142,69,68,5,0.504,1,1,500,524,99,71,0.239,3.43,82,2023-10-08 14:10:53.028364
4,楽天,142,70,70,2,0.5,0.5,1,513,551,104,102,0.245,3.51,81,2023-10-08 14:10:53.028364
1,オリックス,143,86,53,4,0.619,優勝,0,508,428,109,52,0.25,2.73,60,2023-10-09 14:13:39.166047
2,ソフトバンク,143,71,69,3,0.507,15.5,0,536,507,104,73,0.248,3.27,52,2023-10-09 14:13:39.166047
3,ロッテ,142,69,68,5,0.504,0.5,1,500,524,99,71,0.239,3.43,82,2023-10-09 14:13:39.166047
2,ロッテ,143,70,68,5,0.5072,15.5,0,505,524,100,73,0.239,3.4,83,2023-10-10 14:13:05.189712
3,ソフトバンク,143,71,69,3,0.5071,0,0,536,507,104,73,0.248,3.27,52,2023-10-10 14:13:05.189712
4,楽天,143,70,71,2,0.496,1.5,0,513,556,104,102,0.244,3.52,82,2023-10-10 14:13:05.189712
